字段标识,字段描述,字段名称,数据类型,字段取值示例,出现次数,值集校验取值,字段含义解读,报送税局字段层级,交叉校验规则,最小字符长度,最大字符长度,最小小数位精度,最大小数位精度,来源文档,来源页码
BT-122,The identifier of the accompanying document.,Supporting document reference,Document reference,O_11-2018,1..1,,The identifier of the accompanying document.,"Invoice: /Invoice/cac:AdditionalDocumentReference/cbc:ID
CreditNote: /CreditNote/cac:AdditionalDocumentReference/cbc:ID",BR-52 Each additional supporting document (BG-24) must include a reference of the supporting document (BT-122),,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,99
BT-123,Description of the accompanying document.,Description of the accompanying document,Text,Billing 11-2018,0..1,,"Description of the accompanying document. Such as: records of time spent, usage report, etc.","Invoice: /Invoice/cac:AdditionalDocumentReference/cbc:DocumentDescription
CreditNote: /CreditNote/cac:AdditionalDocumentReference/cbc:DocumentDescription",,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,"99,100"
BT-124,A URL (Unique Resource Locator) that identifies the location where the external document is located.,Location of the external document,Text,https://www.site.hr/invoices/att/I_11-2018.xslx,0..1,,"A URL (Unique Resource Locator) that identifies the location where the external document is located. A method of locating a resource, including its primary access mechanism, e.g., http:// or ftp://. The location of the external document must be used if the Buyer requires additional information to support the invoice. External documents are not an integral part of the invoice. There may be a certain amount of risk when accessing external documents.","Invoice: /Invoice/cac:AdditionalDocumentReference/cac:Attachment/cac:ExternalReference/cbc:URI
CreditNote: /CreditNote/cac:AdditionalDocumentReference/cac:Attachment/cac:ExternalReference/cbc:URI",,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,100
BT-125,Attached document embedded as binary object or sent together with an account. I'm in the attached Document. File name The document that is attached,Attached document,,JVBERi0xLjQNJeLjz9MNCjYgM....,0..1,,Attached document embedded as binary object or sent together with an account. I'm in the attached Document. File name The document that is attached The attached document is used when the documentation is saved together with the invoice for the purpose of subsequent referencing or auditing. Allowed mime codes: - application/pdf - image/png - image/jpeg - text/csv - application/vnd.openxmlformats- officedocument.spreadsheetml.sheet - application/vnd.oasis.opendocument. Spreadsheets,"Invoice: /Invoice/cac:AdditionalDocumentReference/cac:Attachment/cbc:EmbeddedDocumentBinaryObject
CreditNote: /CreditNote/cac:AdditionalDocumentReference/cac:Attachment/cbc:EmbeddedDocumentBinaryObject/Invoice/cac:AdditionalDocumentReference/cac:Attachment/cbc:EmbeddedDocumentBinaryObject/@mimeCode/CreditNote/cac:AdditionalDocumentReference/cac:Attachment/cbc:EmbeddedDocumentBinaryObject/@mimeCode/Invoice/cac:AdditionalDocumentReference/cac:Attachment/cbc:EmbeddedDocumentBinaryObject/@filename/CreditNote/cac:AdditionalDocumentReference/cac:Attachment/cbc:EmbeddedDocumentBinaryObject/@filename",,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,"100,103"
BT-126,Unique identifier individual items within the account.,Account item identifier,Identifier,1,1..1,,Unique identifier individual items within the account.,"Invoice: /Invoice/cac:InvoiceLine/cbc:ID
CreditNote: /CreditNote/cac:CreditNoteLine/cbc:ID",BR-21 Each invoice item (BG-25) must have an invoice item identifier (BT-126),,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,103
BT-127,A text note with unstructured information that is relevant to an invoice item.,Note invoice items,Text,Please check the correctness of the delivered goods,0..1,,A text note with unstructured information that is relevant to an invoice item.,"Invoice: /Invoice/cac:InvoiceLine/cbc:Note
CreditNote: /CreditNote/cac:CreditNoteLine/cbc:Note",,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,103
BT-128,"The identifier of the object on which the invoice item is based, assigned by the Seller. The identifier of the identification scheme of the object identifier of the account item.",Account item object identifier,Identifier,meter-location-0001,0..1,"Remark: Sa cbc:DocumentTy peCode = ""130""","The identifier of the object on which the invoice item is based, assigned by the Seller. The identifier of the identification scheme of the object identifier of the account item. It can be a subscription number, a phone number, Location, etc., as appropriate. If it may not be clear to the recipient which schema is used as an identifier, a conditional schema identifier should be selected, which must be selected from the determinants of the UNTDID 1153 code list [3]. Remark: Sa cbc:DocumentTy peCode = ""130""","Invoice: /Invoice/cac:InvoiceLine/cac:DocumentReference/cbc:IDSa
CreditNote: /CreditNote/cac:CreditNoteLine/cac:DocumentReference/cbc:IDcbc:DocumentTy/Invoice/cac:InvoiceLine/cac:DocumentReference/cbc:ID/@schemeID/CreditNote/cac:CreditNoteLine/cac:DocumentReference/cbc:ID/@schemeID",,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,103
BT-129,The quantity of the item (goods or service) which is are calculated on the invoice item.,Calculated quantity,Quantity,10.000,1..1,,The quantity of the item (goods or service) which is are calculated on the invoice item.,"Invoice: /Invoice/cac:InvoiceLine/cbc:InvoicedQuantity
CreditNote: /CreditNote/cac:CreditNoteLine/cbc:CreditedQuantity",BR-22 Each invoice item (BG-25) must have a billed quantity (BT-129),,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,103
BT-130,Unit of measure applicable to calculated quantity.,"For units of measure, calculated quantities",Code,10.000,1..1,,"Unit of measure applicable to calculated quantity. The unit of measure must be selected from the list of Recommendation No. 20 of the UNECE ""Codes for units of measurement used in the International Trade"" [12] and Recommendation No. 21 of the UNECE ""Markings for passengers, types of cargo, parcels and packaging materials"" (with complementary markings for package names)"" [13] applying the method described in Recommendation No. 21 of the UN/ECE, Introduction 2.a). It should be borne in mind that in most In some cases, buyers and sellers do not have to implement these lists in their software in their entirety. Sellers must only support the units that are required for their goods and services; Customers only need to confirm that the units used in the invoice are the same as the units used in other accounts. documents (such as contracts, catalogues, order and delivery note).","Invoice: /Invoice/cac:InvoiceLine/cbc:InvoicedQuantity/@unitCode
CreditNote: /CreditNote/cac:CreditNoteLine/cbc:CreditedQuantity/@unitCode",BR-23 The invoice item (BG-25) must have a unit of measure code of the billed quantity (BT-130),,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,103
BT-131,Total Item Amounts account,Net Amount of Account Item,Amount,900.00,1..1,,"Total Item Amounts account The amount is ""net"" without VAT, i.e. Including item-level discounts and costs, as well as other relevant taxes.","Invoice: /Invoice/cac:InvoiceLine/cbc:LineExtensionAmount
CreditNote: /CreditNote/cac:CreditNoteLine/cbc:LineExtensionAmount",BR-24 Each invoice item (BG-25) must have a net invoice item amount (BT-131).,,,2,2,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,104
BT-132,Identifier for the referenced item within the purchase order issued by the Customer.,Referenced purchase order item reference,Document Reference,st-nar-1,0..1,,Identifier for the referenced item within the purchase order issued by the Customer. The purchase order identifier is referenced at the document level.,"Invoice: /Invoice/cac:InvoiceLine/cac:OrderLineReference/cbc:LineID
CreditNote: /CreditNote/cac:CreditNoteLine/cac:OrderLineReference/cbc:LineID",,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,104
HR-BT-9,Identifier for the referenced purchase order on the invoice item,Purchase Order Reference on Invoice Item,Document Reference,st-nar-1,0..1,,Identifier for the referenced purchase order on the invoice item A purchase order identifier referenced at the document level should not be used if an identifier on an item is used.,"Invoice: /Invoice/cac:InvoiceLine/cac:OrderLineReference/cac:OrderReference/cbc:ID
CreditNote: /CreditNote/cac:CreditNoteLine/cac:OrderLineReference/cac:OrderReference/cbc:ID","HR-BR-17 If a purchase order reference is used on an invoice item (HR-BT-9), it is prohibited to use the BT-13 Reference Purchase orders on various accounts",,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,104
HR-BT-10,Identifier for the referenced bill of lading on the invoice item,Bill of Lading Reference on Invoice Item,Document Reference,st-otp-1,0..1,,Identifier for the referenced bill of lading on the invoice item A shipping slip identifier referenced at the document level should not be used if an identifier on an item is used.,"Invoice: /Invoice/cac:InvoiceLine/cac:DespatchLineReference/cac:DocumentReference/cbc:ID
CreditNote: /CreditNote/cac:CreditNoteLine/","HR-BR-18 If a Bill of Lading reference is used on an invoice item (HR-BT-10), it is prohibited to use the BT-16 Reference Dispatch notes on various invoices",,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,104
HR-BT-11,Identifier for the referenced receipt on the invoice item,Receipt Reference on Invoice Item,Document Reference,st-prim-1,0..1,,Identifier for the referenced receipt on the invoice item A receipt identifier referenced at the document level should not be used if an identifier on an item is used.,"Invoice: /Invoice/cac:InvoiceLine/cac:ReceiptLineReference/cac:DocumentReference/cbc:ID
CreditNote: /CreditNote/cac:CreditNoteLine/","HR-BR-19 If a Receipt Reference is used on an invoice item (HR-BT-11), it is prohibited to use the BT-15 Receipt Reference on Miscellaneous accounts",,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,104
BT-133,A text value that specifies where to post The relevant data in the financial accounting of the buyer. A group of business terms that offer information on accounting period relevant to the invoice item.,"Customer's A text value that If necessary, this reference to the Seller Text 0..1",Text,1,0..1,,"A text value that specifies where to post The relevant data in the financial accounting of the buyer. A group of business terms that offer information on accounting period relevant to the invoice item. If necessary, this reference to the Seller is delivered by the Buyer before the invoice is issued. Also called the delivery period of the invoice item","Invoice: /Invoice/cac:InvoiceLine/cbc:AccountingCost
CreditNote: /CreditNote/cac:CreditNoteLine/cbc:AccountingCost",BR-16 The invoice must have at least one invoice item (BG-25),,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,"104,109"
BT-134,Date on which the accounting period for the item in question starts account.,Start date of the billing period of the account item,Date,2025-01-01,0..1,,Date on which the accounting period for the item in question starts account. The date that is the first day of the period.,"Invoice: /Invoice/cac:InvoiceLine/cac:InvoicePeriod/cbc:StartDate
CreditNote: /CreditNote/cac:CreditNoteLine/cac:InvoicePeriod/cbc:StartDate","BR-30 If both dates are given: the start date of the billing period of the account item (BT-134) and the end date Accounting period of the invoice item (BT-135) the end date of the billing period of the invoice item (BT-135) must be later than or equal to the start date of the billing period of the invoice item (BT-134) | BR-CO-20 If the billing period of the invoice item (BG-26) is used, either the start date of the billing period of the invoice item (BT-134) or the end date of the billing period of the invoice item (BT-135) or both will be populated.",10,10,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,109
BT-135,Expiration Date accounting period of the invoice for the invoice item in question. A group of business terms offering information on discounts applicable to An individual account item.,End date of the billing period of the account item,Date,2025-01-31,0..1,Remark: With cbc:ChargeIndica,Expiration Date accounting period of the invoice for the invoice item in question. A group of business terms offering information on discounts applicable to An individual account item. The date that is the last day of the period. Remark: With cbc:ChargeIndica,"Invoice: /Invoice/cac:InvoiceLine/cac:InvoicePeriod/cbc:EndDate
CreditNote: /CreditNote/cac:CreditNoteLine/cac:InvoicePeriod/cbc:EndDate","BR-30 If both dates are given: the start date of the billing period of the account item (BT-134) and the end date Accounting period of the invoice item (BT-135) the end date of the billing period of the invoice item (BT-135) must be later than or equal to the start date of the billing period of the invoice item (BT-134) | BR-CO-20 If the billing period of the invoice item (BG-26) is used, either the start date of the billing period of the invoice item (BT-134) or the end date of the billing period of the invoice item (BT-135) or both will be populated.",10,10,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,"109,110"
BT-136,The amount of the discount excluding VAT.,Amount of discount on an invoice item,Amount,false,1..1,"Remark: With cbc:ChargeIndica tor = ""false""","The amount of the discount excluding VAT. Remark: With cbc:ChargeIndica tor = ""false""","Invoice: /Invoice/cac:InvoiceLine/cac:AllowanceCharge/cbc:AmountWith
CreditNote: /CreditNote/cac:CreditNoteLine/cac:AllowanceCharge/cbc:Amountcbc:ChargeIndica",BR-41 Each item discount (BG-27) must have an item discount amount (BT-136),,,2,2,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,110
BT-137,"The basic amount that can be used, together with the discount percentage on the invoice item, to calculate the amount of discount on the invoice item. A group of business terms offering information on costs and taxes other than VAT, applicable to An individual account item.",Base of the discount amount on the invoice item,Amount,false,0..1,"Remark: With cbc:ChargeIndica tor = ""false"" Sa cbc:ChargeIndica","The basic amount that can be used, together with the discount percentage on the invoice item, to calculate the amount of discount on the invoice item. A group of business terms offering information on costs and taxes other than VAT, applicable to An individual account item. It is assumed that all costs and taxes on an invoice item are subject to the same VAT rate as the invoice item. Remark: With cbc:ChargeIndica tor = ""false"" Sa cbc:ChargeIndica","Invoice: /Invoice/cac:InvoiceLine/cac:AllowanceCharge/cbc:BaseAmountWith
CreditNote: /CreditNote/cac:CreditNoteLine/cac:AllowanceCharge/cbc:BaseAmountcbc:ChargeIndica",,,,2,2,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,"110,113"
BT-141,The amount of the cost excluding VAT.,Amount of expense on an invoice item,Amount,true,1..1,"Remark: Sa cbc:ChargeIndica tor = ""true""","The amount of the cost excluding VAT. Remark: Sa cbc:ChargeIndica tor = ""true""","Invoice: /Invoice/cac:InvoiceLine/cac:AllowanceCharge/cbc:AmountSa
CreditNote: /CreditNote/cac:CreditNoteLine/cac:AllowanceCharge/cbc:Amountcbc:ChargeIndica",BR-43 Each cost per item (BG-28) must have an expense amount per item (BT-141),,,2,2,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,113
BT-142,"The basic amount that can be used, together with the percentage of the cost of invoice item, to calculate the amount of the cost on the invoice item.",Base of the amount of the cost on the invoice item,Amount,true,0..1,"Remark: Sa cbc:ChargeIndica tor = ""true""","The basic amount that can be used, together with the percentage of the cost of invoice item, to calculate the amount of the cost on the invoice item. Remark: Sa cbc:ChargeIndica tor = ""true""","Invoice: /Invoice/cac:InvoiceLine/cac:AllowanceCharge/cbc:BaseAmountSa
CreditNote: /CreditNote/cac:CreditNoteLine/cac:AllowanceCharge/cbc:BaseAmountcbc:ChargeIndica",,,,2,2,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,113
BT-143,"The percentage that can be used, together with the cost base of the invoice item, to calculate the cost amount for the invoice item.",Percentage of the cost on the invoice item,Percentage,true,0..1,"Remark: Sa cbc:ChargeIndica tor = ""true""","The percentage that can be used, together with the cost base of the invoice item, to calculate the cost amount for the invoice item. Remark: Sa cbc:ChargeIndica tor = ""true""","Invoice: /Invoice/cac:InvoiceLine/cac:AllowanceCharge/cbc:MultiplierFactorNumericSa
CreditNote: /CreditNote/cac:CreditNoteLine/cac:AllowanceCharge/cbc:MultiplierFactorNumcbc:ChargeIndica",,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,113
BT-144,"The reason for the cost of the invoice item, expressed in the form of text. A group of business terms that provide price information applied to goods and services that are calculated on the invoice item.",Reason for the cost on the invoice item,Text,true,0..1,,"The reason for the cost of the invoice item, expressed in the form of text. A group of business terms that provide price information applied to goods and services that are calculated on the invoice item.","Invoice: /Invoice/cac:InvoiceLine/cac:AllowanceCharge/cbc:AllowanceChargeReasonSa
CreditNote: /CreditNote/cac:CreditNoteLine/cac:AllowanceCharge/cbc:AllowanceChargeReascbc:ChargeIndica","BR-44 Each cost on an item (BG-28) must have a cost reason on the item (BT-144) or a cost reason on the item (BT- 145) | BR-CO-8 The cost reason on the item (BT-145) and the cost reason on the item (BT-144) will indicate the same type of cost reason | BR-CO-24 Each invoice item-level expense (BG-28) must include an invoice-level expense reason (BT-144) or an invoice- level expense reason (BT-145), or both.",,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,"113,116"
BT-146,"The price of the item does not include VAT, after deducting the discount on the price of the item.",Net price of the item,Unit price amount,250.000000,1..1,,"The price of the item does not include VAT, after deducting the discount on the price of the item. The net price of the item must be the same as the gross price of the item after deducting the discount on the price of the item.","Invoice: /Invoice/cac:InvoiceLine/cac:Price/cbc:PriceAmount
CreditNote: /CreditNote/cac:CreditNoteLine/cac:Price/cbc:PriceAmount",BR-26 Each invoice item (BG-25) must contain the net (unit) price of the item (BT-146) | BR-27 The net (unit) price of the item (BT-146) will not be negative.,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,116
BT-147,The total discount deducted from the gross price of the item to calculate the net price of the item.,Discount on the price of the item,Unit price amount,false,0..1,"Remark: With cbc:ChargeIndica tor = ""false""","The total discount deducted from the gross price of the item to calculate the net price of the item. It only applies if the discount is offered per unit, and if it is not included in the gross price of the item. Remark: With cbc:ChargeIndica tor = ""false""","Invoice: /Invoice/cac:InvoiceLine/cac:Price/cac:AllowanceCharge/cbc:AmountWith
CreditNote: /CreditNote/cac:CreditNoteLine/cac:Price/cac:AllowanceCharge/cbc:Amountcbc:ChargeIndica",,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,116
BT-148,"Unit price without VAT, before deduction of the discount on the price of the item.",Gross price of the item,Unit price amount,false,0..1,"Remark: With cbc:ChargeIndica tor = ""false""","Unit price without VAT, before deduction of the discount on the price of the item. Remark: With cbc:ChargeIndica tor = ""false""","Invoice: /Invoice/cac:InvoiceLine/cac:Price/cac:AllowanceCharge/cbc:BaseAmountWith
CreditNote: /CreditNote/cac:CreditNoteLine/cac:Price/cac:AllowanceCharge/cbc:BaseAmouncbc:ChargeIndica",BR-28 The gross price of the item (BT-148) will not be negative.,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,116
BT-149,The number of units of the item to which the price is applied.,Unit quantity for the price of the item,Quantity,1.000,0..1,,The number of units of the item to which the price is applied.,"Invoice: /Invoice/cac:InvoiceLine/cac:Price/cbc:BaseQuantity
CreditNote: /CreditNote/cac:CreditNoteLine/cac:Price/cbc:BaseQuantity","HR-BR-20 The unit quantity for the price of the item, if stated, MUST be a positive number greater than zero",,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,116
BT-150,A unit of measurement that is applies to the unit quantity for the price of the item. Group of business terms providing VAT information applicable to goods and services that are calculated on the invoice item.,The unit measures the unit quantities of an article,Code,1.000,0..1,,A unit of measurement that is applies to the unit quantity for the price of the item. Group of business terms providing VAT information applicable to goods and services that are calculated on the invoice item. The unit of measure for the unit quantity for the price of the item must be the same as the unit of measure of the calculated quantity (BT-130).,"Invoice: /Invoice/cac:InvoiceLine/cac:Price/cbc:BaseQuantity/@unitCode
CreditNote: /CreditNote/cac:CreditNoteLine/cac:Price/cbc:BaseQuantity/@unitCode","HR-BR-21 The unit of measure of the unit quantity of the price of the item, if reported, MUST be equal to the unit of measure of the calculated quantity (BT-130)",,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,"116,118"
BT-151,The VAT category code of the invoice item item.,VAT category code of the invoice item,Code,S,1..1,UNTDID 5305,"The VAT category code of the invoice item item. The following determinants from UNTDID 5305 [3] are used (additional clarification in parentheses): - Standard rate (subject to VAT on the standard way). - Goods with a zero rate (subject to VAT at a zero percentage rate) - Tax Exempt (VAT/IGIC/IPSI) - VAT rules for reverse charge (VAT/IGIC/IPSI reverse charge rules apply) - VAT exemption for intra-EU supplies of goods (VAT/IGIC/IPSI not charged due to intra-EU supply rules) - A free export item, the tax is not (VAT/IGIC/IPSI is not charged due to exports outside the EU) - Services outside the scope of tax (VAT/IGIC/IPSI does not apply to sales) - General indirect tax for the Canary Islands (subject to IGIC tax) - Subject to IPSI (tax for Ceuta and Melilla)","Invoice: /Invoice/cac:InvoiceLine/cac:Item/cac:ClassifiedTaxCategory/cbc:ID
CreditNote: /CreditNote/cac:CreditNoteLine/cac:Item/cac:ClassifiedTaxCategory/cbc:ID",BR-CO-4 Each invoice item (BG-25) must be categorized by the VAT category code of the invoice item item (BT-151),,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,119
HR-BT-12,Support for VAT-exempt or non-VAT items,VAT category code of invoice items,Identifier (code),EN:PDV25,0..1,HR-TB-2,Support for VAT-exempt or non-VAT items,"Invoice: /Invoice/cac:InvoiceLine/cac:Item/cac:ClassifiedTaxCategory/cbc:Name
CreditNote: /CreditNote/cac:InvoiceLine/cac:Item/cac:ClassifiedTaxCategory/cbc:Name","HR-BR-16 Each invoice item (BG-25) that is not subject to VAT or is exempt from VAT must have the VAT category code of the calculated item HR-BT-12 from the VAT category code code HR-TB-2 | HR-BR-17 Each invoice item (BG-25) that is not subject to VAT or exempt from VAT must have a VAT category code ""E"" (BT-102) and a VAT rate (BT-103) equal to 0",,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,119
BT-152,The VAT rate shown as a percentage that applies to the item of the invoice item.,Invoice item VAT rate,Percentage,25,0..1,,The VAT rate shown as a percentage that applies to the item of the invoice item.,"Invoice: /Invoice/cac:InvoiceLine/cac:Item/cac:ClassifiedTaxCategory/cbc:Percent
CreditNote: /CreditNote/cac:CreditNoteLine/cac:Item/cac:ClassifiedTaxCategory/cbc:Percent",,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,119
HR-BT-13,The reason for the VAT exemption of the invoice item expressed as text.,Reason for VAT exemption of invoice items,Text,Transit item pursuant to Article XX of the VAT Act,0..1,,The reason for the VAT exemption of the invoice item expressed as text.,"Invoice: /Invoice/cac:InvoiceLine/cac:Item/cac:ClassifiedTaxCategory/cbc:TaxExemptionReason
CreditNote: /CreditNote/cac:InvoiceLine/cac:Item/cac:ClassifiedTaxCategory/cbc:TaxExemptionReason",HR-BR-18 Each invoice item (BG-25) that is not subject to VAT or exempt from VAT must have a reason for exemption VAT (HR-BT-13) or the reason for VAT exemption (HR-BT-14),,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,119
HR-BT-14,"The reason for the VAT exemption of the invoice item expressed as a code. A group of business terms that provide information on the goods accounted for, and services on the item account.",Invoice Item Reason for VAT Exemption Code,Code,vatex-eu-143,0..1,,"The reason for the VAT exemption of the invoice item expressed as a code. A group of business terms that provide information on the goods accounted for, and services on the item account.","Invoice: /Invoice/cac:InvoiceLine/cac:Item/cac:ClassifiedTaxCategory/cbc:TaxExemptionReasonCode
CreditNote: /CreditNote/cac:InvoiceLine/cac:Item/cac:ClassifiedTaxCategory/cbc:TaxExemptionReasonCode",HR-BR-19 Each invoice item (BG-25) that is not subject to VAT or exempt from VAT must have a reason for exemption VAT (HR-BT-13) or the reason for VAT exemption (HR-BT-14),,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,"119,122"
BT-153,The name of the article.,The name of the item,Text,Slave 1,1..1,,The name of the article.,"Invoice: /Invoice/cac:InvoiceLine/cac:Item/cbc:Name
CreditNote: /CreditNote/cac:CreditNoteLine/cac:Item/cbc:Name",BR-25 Each invoice item (BG-25) must contain the name of the item (BT-153),,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,122
BT-154,Description of the article.,Item Description,Text,Miscellaneous Goods That Can Be Described,0..1,,Description of the article. The description of the article allows you to describe the article and its properties in more detail than stated by the name of the article.,"Invoice: /Invoice/cac:InvoiceLine/cac:Item/cbc:Description
CreditNote: /CreditNote/cac:CreditNoteLine/cac:Item/cbc:Description",,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,122
BT-155,The identifier of the item assigned by the Seller.,Seller's item identifier,Identifier,art-p-0001,0..1,,The identifier of the item assigned by the Seller.,"Invoice: /Invoice/cac:InvoiceLine/cac:Item/cac:SellersItemIdentification/cbc:ID
CreditNote: /CreditNote/cac:CreditNoteLine/cac:Item/cac:SellersItemIdentification/cbc:",,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,122
BT-156,The identifier of the item assigned by the Buyer.,Buyer's item identifier,Identifier,art-k-1000,0..1,,The identifier of the item assigned by the Buyer.,"Invoice: /Invoice/cac:InvoiceLine/cac:Item/cac:BuyersItemIdentification/cbc:ID
CreditNote: /CreditNote/cac:CreditNoteLine/cac:Item/cac:BuyersItemIdentification/cbc:ID",,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,122
BT-157,An item identifier based on a registered scheme. The identifier of the identification scheme of the standard item identifier.,Standard Item Identifier,Identifier,04012345123456,0..1,,An item identifier based on a registered scheme. The identifier of the identification scheme of the standard item identifier. The identification scheme shall be identified among the determinants of the list published by the ISO/IEC 6523 maintenance service(5),"Invoice: /Invoice/cac:InvoiceLine/cac:Item/cac:StandardItemIdentification/cbc:ID
CreditNote: /CreditNote/cac:CreditNoteLine/cac:Item/cac:StandardItemIdentification/cbc:ID/Invoice/cac:InvoiceLine/cac:Item/cac:StandardItemIdentification/cbc:ID/@schemeID/CreditNote/cac:CreditNoteLine/cac:Item/cac:StandardItemIdentification/cbc:ID/@schemeID",BR-64 The standard item identifier (BT-157) must have a schema identifier.,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,122
BT-158,A code to classify an item by its type or nature. Identifier of the identification scheme of the identifier of the classification of the article. Version of the identification scheme.,Item Classification Identifier,Identifier,62.20.20,1..n,UNTDID 7143,"A code to classify an item by its type or nature. Identifier of the identification scheme of the identifier of the classification of the article. Version of the identification scheme. Classification codes are used to enabling the grouping of similar items for different purposes, e.g. public procurement (CPV), e-commerce (UNSPSC), etc. The identification scheme must be selected from among the determinants of the UNTDID 7143 list [3].","Invoice: /Invoice/cac:InvoiceLine/cac:Item/cac:CommodityClassification/cbc:ItemClassificationCode
CreditNote: /CreditNote/cac:CreditNoteLine/cac:Item/cac:CommodityClassification/cbc:ItemClassificationCode/Invoice/cac:InvoiceLine/cac:Item/cac:CommodityClassification/cbc:ItemClassificationCode/@listID/CreditNote/cac:CreditNoteLine/cac:Item/cac:CommodityClassification/cbc:ItemClassificationCode/@listID/Invoice/cac:InvoiceLine/cac:Item/cac:CommodityClassification/cbc:ItemClassificationCode/@listVersionID/CreditNote/cac:CreditNoteLine/cac:Item/cac:CommodityClassification/cbc:ItemClassificationCode/@listVersionID",BR-65 The item classification identifier (BT-158) must have a schema identifier.,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,"122,123"
BT-159,The code that identifies country of origin of the article. A group of business terms that offer information about the characteristics of invoiced goods and services.,Country of origin of the item,Code,HR,0..1,ISO 3166-1,"The code that identifies country of origin of the article. A group of business terms that offer information about the characteristics of invoiced goods and services. The list of valid countries is entered with the Maintenance Agency EN ISO 3166-1 ""Codes for the designation of the names of countries and their landscape"" [6].","Invoice: /Invoice/cac:InvoiceLine/cac:Item/cac:OriginCountry/cbc:IdentificationCode
CreditNote: /CreditNote/cac:CreditNoteLine/cac:Item/cac:OriginCountry/cbc:IdentificationCode",,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,"123,125,126"
BT-160,The name of the attribute or property of the item.,Item attribute name,Text,Color,1..1,,"The name of the attribute or property of the item. Such as ""Color"".","Invoice: /Invoice/cac:InvoiceLine/cac:Item/cac:AdditionalItemProperty/cbc:Name
CreditNote: /CreditNote/cac:CreditNoteLine/cac:Item/cac:AdditionalItemProperty/cbc:Name",BR-54 Each item attribute (BG-32) must contain the item attribute name (BT-160) and the item attribute value (BT- 161).,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,126
BT-161,The value of an attribute or property of an item. Extensions for the purpose of fiscalization of invoices,Value of the item attribute,Text,Red,1..1,,"The value of an attribute or property of an item. Extensions for the purpose of fiscalization of invoices Such as ""Red"". Required for accounts that are subject to Fiscalization 2.0","Invoice: /Invoice/cac:InvoiceLine/cac:Item/cac:AdditionalItemProperty/cbc:Value
CreditNote: /CreditNote/cac:CreditNoteLine/cac:Item/cac:AdditionalItemProperty/cbc:Value",BR-54 Each item attribute (BG-32) must contain the item attribute name (BT-160) and the item attribute value (BT- 161).,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,"126,128"
